SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PROV_TERR_FR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,OPEN_DATA_URL
"NF02YS0113","YUDLE POND, TERRA NOVA NATIONAL PARK","ÉTANG YUDLE, PARC NATIONAL TERRA-NOVA","POND/ÉTANG","YUDLE POND TERRA NOVA NATIONAL PARK - CHLOROPHYLL LAKES","ÉTANG YUDLE, PARC NATIONAL TERRA-NOVA - LACS AUX CONCENTRATIONS EN CHLOROPHYLLE","48.4383","-54.0339","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02YS0134","OPERATIONS COMPOUND","COMPLEXE DES OPÉRATIONS","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","DRAINAGE AREA AT INTERSECTION OF NEWMAN SOUND ACCESS ROAD AND OPERATIONS COMPOUND","BASSIN HYDROGRAPHIQUE À L'INTERSECTION DU CHEMIN D'ACCÈS NEWMAN SOUND ET DU COMPLEXE DES OPÉRATIONS","48.5584","-53.9747","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02YS0135","PINE HILL POND","ÉTANG PINE HILL","POND/ÉTANG","LOCATED APPROXIMATELY 800 M NORTH OF BLUEHILL ROAD, NEXT TO TRANSCANADIAN HIGHWAY, PART OF THE SOUTH-WEST BROOK WATERSHED","SITUÉ APPROXIMATIVEMENT À 800 M AU NORD DE BLUEHILL ROAD, À CÔTÉ DE LA ROUTE TRANSCANADIENNE, PARTIE DU BASSIN VERSANT SOUTH-WEST BROOK","48.604","-53.9745","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02YS0136","TROUT POND","ÉTANG TROUT","POND/ÉTANG","LOCATED APPROXIMATELY 750 M NORTHEAST OF THE CHARLOTTETOWN INTERSECTION AND ADJACENT TO THE TRANSCANADIAN HIGHWAY - PART OF THE TWIN PONDS WATERSHED","SITUÉ PRÈS DE 750 M AU NORD-EST DE L'INTERSECTION CHARLOTTETOWN ET LE LONG DE LA ROUTE TRANSCANADIENNE - FAIT PARTIE DU BASSIN VERSANT TWIN PONDS","48.4527","-54.0144","WGS84","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZA0006","GRAND CODROY RIVER BELOW OVERFALL BROOK","RIVIÈRE GRAND CODROY, À 50 M EN DESSOUS DU RUISSEAU OVERFALL","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.8694","-59.1181","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZC0020","BUCK LAKE ON ROUTE 480","LAC BUCK, SUR LA ROUTE 480","LAKE/LAC","BUCK LAKE ON ROUTE 480 NEXT TO SANDY BEACH","LAC BUCK, SUR LA ROUTE 480, PRÈS DE LA PLAGE DE SABLE","48.0133","-57.6664","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZK0005","NORTHEAST RIVER 4.7 KM EAST OF DUNVILLE","RIVIÈRE NORTHEAST, À 4,7 KM À L’EST DE DUNVILLE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","NORTHEAST RIVER 4.7 KM EAST OF DUNVILLE, PLACENTIA DISTRICT FROM BRIDGE OFF HIGHWAY 100 (FORMERLY 00NL02ZK0002), 150 M DOWNSTREAM OF WSC STATION","RIVIÈRE NORTHEAST, À 4,7 KM À L'EST DE DUNVILLE, DISTRICT DE PLACENTIA, DEPUIS LE PONT SUR LA ROUTE 100 (ANCIEN NOM : 00NL02ZK0002), À 150 M EN AVAL DE LA STATION DE LA DRHC","47.2731","-53.8403","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZL0029","GOULDS BROOK NEAR MAKINSONS","RUISSEAU GOULDS, BAIE CONCEPTION","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","GOULDS BROOK, CONCEPTION BAY, APPROXIMATELY 0.5 KM UPSTREAM OF ROUTE 71 HIGHWAY BRIDGE, FROM CENTRE OF BRIDGE ON UNNAMED ROUTE CONNECTING ROUTE 71 AND ROUTE 70","RUISSEAU GOULDS, BAIE CONCEPTION, À ENVIRON 0,5 KM EN AMONT DU PONT DE L’AUTOROUTE SUR LA ROUTE 71, DEPUIS LE CENTRE DU PONT SUR UNE ROUTE SANS NOM RELIANT LA ROUTE 71 ET LA ROUTE 70","47.5047","-53.2911","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0004","WATERFORD RIVER AT COMMONWEALTH AVENUE","RIVIÈRE WATERFORD, AU PONT SUR L’AVENUE COMMONWEALTH","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","WATERFORD RIVER AT BRIDGE ON COMMONWEALTH AVENUE, ST. JOHN'S","RIVIÈRE WATERFORD, AU PONT SUR L’AVENUE COMMONWEALTH, À ST. JOHN'S","47.5219","-52.8081","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0009","WATERFORD RIVER AT KILBRIDE","RIVIÈRE WATERFORD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","LOCATED WITHIN THE CITY OF ST JOHN’S NEWFOUNDLAND, THIS SITE DRAINS 53.1 KM2. GREATER THAN 50% OF THE AREA IS FORESTED BUT, APPROXIMATELY 1/4 OF THE BASIN AREA IS DEVELOPED. INDUSTRY IN THE BASIN INCLUDES CONSTRUCTION AND ENGINEERING, SERVICE GARAGES, ELECTRICAL POWER, MATERIALS HANDLING, MANUFACTURING, FABRICATION, WHOLESALE, RETAIL INDUSTRY FOR FOOD & BEVERAGE, RECYCLING, LIQUID HANDLING, TRANSPORT AND STORAGE, SECURITY, OIL AND GAS.  ACTIVE QUARRYING OPERATIONS INVOLVE AGGREGATE EXTRACTION AND BOTH HAVE ON SITE ASPHALT PLANTS. LOCATED AT KILBRIDE.","LOCALISÉ À L'INTÉRIEUR DE LA VILLE DE ST JOHN’S TERRE-NEUVE, CE SITE DRAINE 53,1 KM2. PLUS DE 50% DE LA SUPERFICIE EST BOISÉ MAIS, APPROXIMATIVEMENT 1/4 DE LA SUPERFICIE DU BASSIN EST DÉVELOPPÉ. L'INDUSTRIE DANS LE BASSIN INCLUT LA CONSTRUCTION ET L'INGÉNIERIE, DES SERVICES DE RÉPARATION, L'ÉNERGIE ÉLECTRIQUE, LA MANUTENTION DE MATÉRIAUX, LA PRODUCTION MANUFACTURIÈRE, LA FABRICATION, LE COMMERCE DE GROS, L'INDUSTRIE DU DÉTAIL POUR LA NOURRITURE & LA BOISSON, LE RECYCLAGE, LA MANUTENTION DE LIQUIDES, LE TRANSPORT ET L'ENTREPOSAGE, LA SÉCURITÉ, LE PÉTROLE ET LE GAZ.  LES OPÉRATIONS D'EXTRACTION ACTIVES IMPLIQUENT L'EXTRACTION D'AGRÉGAT ET LES DEUX POSSÈDENT DES USINES D'ASPHALTE. LOCALISÉ À KILBRIDE.","47.5294","-52.7414","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0014","VIRGINIA RIVER AT THE BOULEVARD","RIVIÈRE VIRGINIA, À ST. JOHN'S","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","VIRGINIA RIVER AT ST. JOHN'S 30 M UPSTREAM OF THE BOULEVARD BRIDGE NEAR OUTLET INTO QUIDI VIDI LAKE","RIVIÈRE VIRGINIA, À ST. JOHN'S, À 30 M EN AMONT DU PONT DU BOULEVARD PRÈS DE L’EXUTOIRE AU LAC QUIDI VIDI","47.5839","-52.6914","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0015","QUIDI VIDI LAKE AT OUTLET","EXUTOIRE DU LAC QUIDI VIDI, À ST. JOHN'S","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","QUIDI VIDI LAKE OUTLET AT ST. JOHN'S FROM THE BOULEVARD BRIDGE","EXUTOIRE DU LAC QUIDI VIDI, À ST. JOHN'S, DEPUIS LE PONT DU BOULEVARD","47.5839","-52.6808","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0016","RENNIE'S RIVER AT CARNELL DRIVE","RIVIÈRE RENNIE, À ST. JOHN'S","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","RENNIE'S RIVER AT ST. JOHN'S FROM BRIDGE ON CARNELL DRIVE NEAR OUTLET INTO QUIDI VIDI LAKE","RIVIÈRE RENNIE, À ST. JOHN'S, DEPUIS LE PONT SUR LA PROMENADE CARNELL, PRÈS DE L’EXUTOIRE AU LAC QUIDI VIDI","47.5778","-52.7008","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0020","BROAD COVE BROOK NEAR ST. PHILLIPS","RUISSEAU BROAD COVE, À ST. PHILLIPS","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","BROAD COVE BROOK AT ST. PHILLIPS, CONCEPTION BAY'S DISTRICT AT HIGHWAY 50 BRIDGE, 2 KM DOWNSTREAM OF WATER SURVEY OF CANADA (WSC) STATION","RUISSEAU BROAD COVE, À ST. PHILLIPS, DISTRICT DE CONCEPTION BAY, AU PONT DE LA ROUTE 50, À 2 KM EN AVAL DE LA STATION DE LA DIVISION DES RELEVÉS HYDROLOGIQUES DU CANADA (DRHC)","47.5872","-52.8814","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0098","VIRGINIA RIVER AT HEADWATERS ","RIVIÈRE VIRGINIA - À ENVIRON 1200 M EN AMONT DE MCNIVEN PLACE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","VIRGINIA RIVER APPROXIMATELY 1200 M UPSTREAM OF MCNIVEN PLACE, MIDSTREAM","RIVIÈRE VIRGINIA - À ENVIRON 1200 M EN AMONT DE MCNIVEN PLACE, AU MILIEU DU GUÉ","47.5983","-52.7583","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0109","MUNDY POND AT OUTLET","ÉTANG MUNDY, SUR LA RIVE DROITE, À 10 M AU-DESSUS DE L’EXUTOIRE DE L’ÉTANG","POND/ÉTANG","","","47.5517","-52.7439","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0175","WATERFORD RIVER AT BROOKFIELD ROAD","RIVIÈRE WATERFORD, AU PONT SUR LE CHEMIN BROOKFIELD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5261","-52.7633","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0176","SOUTH BROOK AT MOUTH","RUISSEAU SOUTH, AU PONT FERROVIAIRE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SOUTH BROOK AT RAILWAY BRIDGE APPROXIMATELY 100 M UPSTREAM OF CONFLUENCE WITH WATERFORD RIVER","RUISSEAU SOUTH, AU PONT FERROVIAIRE, À ENVIRON 100 M EN AMONT DE LA CONFLUENCE AVEC LA RIVIÈRE WATERFORD","47.5281","-52.7467","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0177","RENNIE'S RIVER AT PORTUGAL COVE ROAD BRIDGE","RIVIÈRE RENNIE, SUR LE PONT DU CHEMIN PORTUGAL COVE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5744","-52.71","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0178","LEARYS BROOK AT PRINCE PHILIP DRIVE","RUISSEAU LEARY, AU PONT DE CLINCH CRESCENT","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5725","-52.7392","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0179","TRIBUTARY TO VIRGINIA RIVER AT GUZZWELL DRIVE","RIVIÈRE VIRGINIA, SUR LA PROMENADE GUZZWELL","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5964","-52.7017","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0180","VIRGINIA RIVER AT NEWFOUNDLAND DRIVE","RIVIÈRE VIRGINIA, SUR LA PROMENADE NEWFOUNDLAND","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5997","-52.7006","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0181","WATERFORD RIVER AT BLACKHEAD ROAD","RIVIÈRE WATERFORD, SUR LE PONT DU CHEMIN BLACKHEAD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5481","-52.7192","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0182","WATERFORD RIVER AT BREMIGANS POND DAM","RIVIÈRE WATERFORD, AU BARRAGE DE L’ÉTANG BREMIGANS","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5186","-52.8558","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0183","KELLIGREWS RIVER AT KELLIVIEW CRESCENT","RIVIÈRE KELLIGREW, À ENVIRON 100 M EN AVAL DU CROISSANT KELLIVIEW","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.4958","-53.0175","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0185","SOUTH BROOK AT HEADWATERS","RUISSEAU SOUTH, À ENVIRON 300 M EN AVAL DE L'ÉTANG D’AMONT","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","SOUTH BROOK APPROXIMATELY 300 M DOWNSTREAM UNNAMED HEADWATER POND","RUISSEAU SOUTH, À ENVIRON 300 M EN AVAL DE L'ÉTANG D’AMONT SANS NOM","47.4936","-52.8506","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
"NF02ZM0294","MANUELS RIVER ABOVE MANUELS ACCESS ROAD","RIVIÈRE MANUALS, AU NIVEAU DE LA ROUTE D’ACCÈS MANUALS","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.5197","-52.9447","NAD83","N.L.","T.-N.-L.","NEWFOUNDLAND - LABRADOR","TERRE-NEUVE - LABRADOR","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/NEWFOUNDLAND-AND-LABRADOR-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-NEWFOUNDLAND-TERRENEUVE-LABRADOR-2000-PRESENT.CSV"
